S.No,Review,Cleaned_Review,Sentiment
76,Mind blowing purchasing,mind blowing purchasing,Neutral
77,"Best phone under 10k , display is very good ,battery is very good and UI experience is very smooth. Camera is decent or ok ok.If you ur thinking about it please go for it.",best phone k display good battery good ui experience smooth camera decent ok okif ur thinking please go,Positive
78,"It's Quite good in this price segment. Initially the speed of the phone was not good , but after sometime it gets a good speed. Camera could be better Battery no too good till now",quite good price segment initially speed phone good sometime gets good speed camera could better battery good till,Positive
79,This budget this one segment 👑 king compare to other brand under 10k any one thinking to buy a overall best performance mobile just look moto g35 .. seriously g35 red colour is just killer look...just one problem I say this mobile fingerprint sensor slightly slow working so I just say moto improve fingerprint sensor..overall all is superb 🔥,budget one segment king compare brand k one thinking buy overall best performance mobile look moto g seriously g red colour killer lookjust one problem say mobile fingerprint sensor slightly slow working say moto improve fingerprint sensoroverall superb,Positive
80,"The product is good at this price range . But you have to remember the below mentioned points
1. Call of duty mobile graphics do not go above medium
2. Even if the mobile is in idle mode , the battery drains.
3. The camera is average don't expect good pictures
4. 5g speed perfectly supports almost every telecom network
5. Design is awesome
6. 4/128 is great if u are mobile user for the surfing , downloading etc
7. REMEMBER IT IS NOT SUGGESTED TO GOOD VIDEO MOVIE EXPERIENCE , GAMING EXPERIENCE",product good price range remember mentioned points call duty mobile graphics go medium even mobile idle mode battery drains camera average dont expect good pictures g speed perfectly supports almost every telecom network design awesome great u mobile user surfing downloading etc remember suggested good video movie experience gaming experience,Positive
81,"Camera - average
Display - very Good
Battery - Good
Performance - average
Design - very good
I gifted this phone to my mother and she liked it 💝",camera average display good battery good performance average design good gifted phone mother liked,Positive
82,"Very good product ,camera quality is awesome and picture quality is very clear, design is super cool ,i will suggest if you think and have budget near 10k-11k must buy this is value for money smart phone.....",good product camera quality awesome picture quality clear design super cool suggest think budget near kk must buy value money smart phone,Positive
83,Good product under 10k,good product k,Positive
84,Good product of this money range🙏👍 Jai Shree Ram 🙏,good product money range jai shree ram,Positive
85,Best phone.,best phone,Positive
86,I am using this phone for making calls and using social media. It's performing well. I will write about the performance later.,using phone making calls using social media performing well write performance later,Positive
87,The Product is good but it would have been better if it was 6 GB Ram,product good would better gb ram,Positive
88,"Camera - 8/10
Battery - 8/10
Display - 10/10
Design - 10/10
Performance - 10/10.

Good phone in this price range.
Front camera average.",camera battery display design performance good phone price range front camera average,Positive
89,Ok,ok,Positive
90,"According to the price this product is very nice Gaming - You play lag free on smooth Graphics Camera - Good Quality photos
Performance - Very good for Normal use
Battery - Fast charging and long life
Heat - This phone gives low heat because of its leather back
Network - Some problems with network during gaming you see hing ping sometimes
Overall - This phone is a Good Budget phone
...........................................",according price product nice gaming play lag free smooth graphics camera good quality photos performance good normal use battery fast charging long life heat phone gives low heat leather back network problems network gaming see hing ping sometimes overall phone good budget phone,Positive
91,"Good product, overall decent, battery is draining fast.",good product overall decent battery draining fast,Positive
92,"Mobile justifies its price
Value for money
Camera us avg
But
Display is awesome",mobile justifies price value money camera us avg display awesome,Positive
93,Nice 👍👍,nice,Positive
94,Moto needs to improve software experience...,moto needs improve software experience,Positive
95,Good mobile 😍😍,good mobile,Positive
96,Nice product but battery is no backup,nice product battery backup,Positive
97,good,good,Positive
98,Good. Value for money. Motorola always trusted mobile company. Amazing Design with futures.,good value money motorola always trusted mobile company amazing design futures,Positive
99,Best in the price range...,best price range,Positive
100,"Very nice product.
Minutes delivery is very fast.
I got the phone within 2 minutes.
Overall phone performance is very good",nice product minutes delivery fast got phone within minutes overall phone performance good,Positive
